Most Mentioned Authors
131246834 documents  for All Dates

Authors,Document Count,Source Name:,Other Affiliated Sources:
Tess Stynes,15746,Dow Jones Institutional News,"The Wall Street Journal Online,NewsPlus,Dow Jones Newswires Chinese (English)"
Dave McNary,15377,Variety,"Reuters News,The Las Vegas Review-Journal,Chicago Tribune"
Jennifer Rubin,15332,Washington Post.com,"The Commercial Appeal (Memphis, Tenn.),Charleston Gazette (W.Va.),The Bulletin (Norwich, Conn.)"
Brian Bandell,14144,South Florida Business Journal (Miami),"South Florida Business Journal Online,Columbus Business First (Ohio),Jacksonville Business Journal (Fla.)"
Chris Cillizza,13191,CNN Wire,"Washington Post.com,The Washington Post,South Florida Sun-Sentinel"
Lauren K. Ohnesorge,12114,"Triangle Business Journal (Raleigh, N.C.)","Triangle Business Journal Online (Raleigh/Durham, N.C.),Triad Business Journal (Greensboro/Winston-Salem, N.C.),Charlotte Business Journal"
Saabira Chaudhuri,10342,Dow Jones Institutional News,"The Wall Street Journal (Europe Edition),The Wall Street Journal (Europe Edition),The Wall Street Journal Online"
Kristina Peterson,10080,Dow Jones Institutional News,"The Wall Street Journal Online,The Wall Street Journal,Dow Jones Newswires Chinese (English)"
David Shepardson,9727,Postmedia Breaking News (Canada),"Reuters News,Channel NewsAsia (Singapore),CE NoticiasFinancieras (Latin America)"
James Fink,9653,Buffalo Business First (N.Y.),"Buffalo Business First Online (N.Y.),New York Business Journal Online,Portland Business Journal Online (Ore.)"
Bob Matyi,9518,Platts Metals Daily,"Platts Megawatt Daily,Platts Coal Trader,Platts Energy Trader"
Cromwell Schubarth,9406,Silicon Valley/San Jose Business Journal (Calif.),"Upstart Business Journal Online,Silicon Valley/San Jose Business Journal Online (Calif.),San Francisco Business Times"
Brian Stelter,9178,CNN Wire,"CNN: CNN Newsroom,CNN: Reliable Sources,Gwinnett Daily Post (Duluth, Ga.)"
Steve Holland,9174,Postmedia Breaking News (Canada),"Reuters News,CE NoticiasFinancieras (Latin America),Channel NewsAsia (Singapore)"
Charlie Rose,9155,CBS News: CBS This Morning,"CBS News: Evening News,CBS News: 60 Minutes,CBS News: Evening News - Sunday"
Annlee Ellingson,9054,L.A. Biz (Los Angeles),"Pacific Business News Online (Honolulu),Upstart Business Journal Online,Triad Business Journal (Greensboro/Winston-Salem, N.C.)"
Iris Dorbian,8768,PE Hub Network,
Lewis Lazare,8654,Chicago Business Journal Online,"Pacific Business News Online (Honolulu),New York Business Journal Online,L.A. Biz (Los Angeles)"
Susan Heavey,8637,Postmedia Breaking News (Canada),"Reuters News,CE NoticiasFinancieras (Latin America),AAP Bulletins (Australia)"
Chidanand Rajghatta,8514,The Times of India,"The Times of India - Kochi Edition,The Times of India & The Economic Times Blogs,The Economic Times (India)"
Lalit K. Jha,8488,Press Trust of India,"Afternoon Despatch & Courier (Mumbai),BW Businessworld (India),Mint (India)"
Carla Caldwell,8324,Atlanta Business Chronicle Online,"Memphis Business Journal Online (Tenn.),Orlando Business Journal Online (Fla.),Nashville Business Journal Online (Tenn.)"
Brent Kendall,8109,Dow Jones Institutional News,"The Wall Street Journal Online,Dow Jones Newswires Chinese (English),The Wall Street Journal"
Esther Whieldon,8079,SNL Power Daily with Market Report,"SNL Energy Finance Daily,SNL Power Policy Week,SNL Coal Report"
Todd Spangler,8025,Variety,"American News (S.D.),The Las Vegas Review-Journal,Augusta Chronicle (Ga.)"
Aaron Blake,7991,Washington Post.com,"The Washington Post,The Philadelphia Inquirer,Daily Herald (Chicago)"
Olivia Pulsinelli,7959,Houston Business Journal,"Houston Business Journal Online,Dallas Business Journal,Dallas Business Journal Online"
Patty Tascarella,7955,Pittsburgh Business Times,"Pittsburgh Business Times Online,Philadelphia Business Journal,Baltimore Business Journal"
Paul J. Gough,7882,Pittsburgh Business Times,"Pittsburgh Business Times Online,Philadelphia Business Journal,Philadelphia Business Journal Online"
Dave Itzkoff,7869,NYTimes.com Feed,"The New York Times,The New York Times (Abstracts),International New York Times"
Wolf Blitzer,7696,CNN: The Situation Room,"CNN: Special/Live Event,CNN: Erin Burnett OutFront,CNN: CNN Newsroom"
Martin Weil,7662,Washington Post.com,"The Washington Post,Herald Democrat (Sherman, Texas),Charleston Gazette (W.Va.)"
Michael Cowden,7594,American Metal Market,"Metal Bulletin Daily,Metal Bulletin News Alert Service,Metal Bulletin Daily (Available through Third Party Subscription Services)"
Manu Raju,7557,CNN Wire,"CNN: CNN Newsroom,CNN: Special/Live Event,CNN: The Situation Room"
Maria Armental,7549,Dow Jones Institutional News,"Dow Jones Newswires Chinese (English),Dow Jones Global Press Release Wire (Segmentation),The Wall Street Journal"
Siobhan Hughes,7364,Dow Jones Institutional News,"The Wall Street Journal,The Wall Street Journal Online,The Wall Street Journal"
Doina Chiacu,7348,Postmedia Breaking News (Canada),"Reuters News,CE NoticiasFinancieras (Latin America),Infobae (Argentina, Spanish Language)"
Tristan Navera,7347,Columbus Business First (Ohio),"Columbus Business First Online (Ohio),Dayton Business Journal (Ohio),Business Courier of Cincinnati Online"
Judy Harrison,7284,Bangor Daily News (Maine),
Philip Bump,7223,Washington Post.com,"The Washington Post,The Bulletin (Norwich, Conn.),Orlando Sentinel (Fla.)"
Ben Fox Rubin,7213,CNET News.com,Dow Jones Institutional News
Paul Krugman,7210,The New York Times,"NYTimes.com Feed,The New York Times (Abstracts),International New York Times"
Sean Sullivan,7194,"The Star-Ledger (Newark, N.J.)","El Economista (Mexico, Spanish Language)"
Patrick Seitz,7176,Investor's Business Daily (U.S.),
Jacob Bunge,7155,Dow Jones Institutional News,"The Wall Street Journal Online,The Wall Street Journal,The Wall Street Journal"
Barbara Starr,7050,CNN Wire,"CNN: CNN Newsroom,CNN: Early Start,CNN: The Situation Room"
Hayley Tsukayama,7011,Washington Post.com,"Daily Herald (Chicago),The Washington Post,The Denver Post (Colo.)"
