Most Mentioned Companies
131246788 documents  for All Dates

Company,Document Count
US Securities and Exchange Commission,859154
U.S. Food and Drug Administration,368149
Board of Governors of the Federal Reserve System,316968
Apple Inc.,315036
Microsoft Corporation,307977
Environmental Protection Agency,284444
General Motors Company,277917
International Business Machines Corp.,266914
Alphabet Inc.,250189
The Boeing Company,249270
Ford Motor Company,230898
Bank of America Corporation,209020
United Nations,192437
AT&T Inc.,178555
"Amazon.com, Inc.",178131
General Electric Company,167555
The Goldman Sachs Group Incorporated,165212
Walmart Inc,161271
Federal Communications Commission,160973
"Facebook, Inc.",155166
Citigroup Inc.,154561
The Walt Disney Company,152132
JPMorgan Chase & Co.,152116
Intel Corporation,152055
Verizon Communications Inc.,151132
United States Department of Justice,148103
Supreme Court of the United States,148098
Federal Energy Regulatory Commission,144028
BP PLC,137004
Samsung Electronics Co Ltd,134494
European Union,128148
Wells Fargo & Company,128085
Federal Bureau of Investigation,127403
Exxon Mobil Corporation,126172
Islamic State of Iraq and the Levant,121724
"Warner Media, LLC",121191
HP Inc.,119591
Pfizer Inc,118307
Toyota Motor Corp.,118038
Lockheed Martin Corporation,116582
United States Department of the Army,115090
Cisco Systems Inc,111530
United States Department of Homeland Security,111120
United States Department of Defense,110277
United States Tax Court,108500
United Nations Security Council,107882
United States Senate,107425
Defense Logistics Agency,103931
United States Department of Energy,103544
United States Federal Government,101992
United States House of Representatives,100400
Altaba Inc,98847
Merrill,98154
Daimler AG,97523
Qualcomm Incorporated,96967
Morgan Stanley,96961
Federal Aviation Administration,95120
United States Department of Agriculture,94876
Federal Trade Commission,92895
United Airlines Holdings Inc.,92806
Sprint Corp.,91831
21st Century Fox Inc.,91646
Johnson & Johnson,91628
Sony Corporation,91087
Centers for Disease Control and Prevention,90583
United States Department of Health and Human Services,87817
United States Department of the Treasury,87068
Deutsche Bank AG,87026
Chevron Corporation,86075
United States Department of State,85274
Comcast Corporation,84169
United States Department of the Navy,83071
Internal Revenue Service,82136
Federal National Mortgage Association,80931
American International Group Inc.,79303
"Netflix, Inc.",79027
Delta Air Lines Inc,78907
Oracle Corporation,78197
United States Postal Service,78087
The Procter & Gamble Company,77680
National Aeronautics and Space Administration,77247
Energy Information Administration,77061
Alabama Department of Finance,76917
Northrop Grumman Corporation,75821
United States Department of Commerce,75253
Federal Emergency Management Agency,75159
"Motorola Solutions, Inc.",74949
Dell Inc,73809
Credit Suisse Group AG,73801
"NBCUniversal Media, LLC",72873
North Atlantic Treaty Organization,72733
Royal Dutch Shell PLC,72526
Duke Energy Corp,72021
Eli Lilly and Co,71360
Federal Home Loan Mortgage Corporation,70850
United States Department of Labor,70368
American Airlines Group Inc.,70360
Enron Creditors Recovery Corp.,69477
Bristol-Myers Squibb Co,69406
US Airways Group Inc.,69134


Search Summary,
All of these words,
At least one of these words,
None of these words,
This exact phrase,
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,English
Results Found,"135,595,325"
Timestamp,22 February 2021 16:46
"© 2021 Factiva, Inc.  All rights reserved."
