Most Mentioned Executives
131253915 documents  for All Dates

Executive,Document Count
Donald John Trump,1978248
Barack Obama,960262
Hillary Rodham Clinton,494600
Joseph Robinette Biden Jr.,460231
Vladimir Vladimirovich Putin,233699
William Jefferson Clinton,170599
Nancy Patricia D'Alesandro Pelosi,163552
W Mitt Romney,156271
Jong Un Kim,131758
Jinping Xi,131621
Michael Pompeo,127712
John Sidney McCain III,109283
Andrew Mark Cuomo,98062
Paul Davis Ryan Jr.,97223
Mike Pence,96600
Bill de Blasio,95430
Janet L Yellen,89110
George Bush,84921
Steven Terner Mnuchin,83133
Angela Dorothea Merkel,75646
Rex W Tillerson,74151
Marco Antonio Rubio,68619
Justin Pierre James Trudeau,68103
John Andrew Boehner,67289
Benjamin Netanyahu,65416
James N Mattis,64493
Mark Elliot Zuckerberg,64205
Elon Reeve Musk,61879
Jared Kushner,60438
Michael Rubens Bloomberg,58908
Rudolph Giuliani,58817
Theresa Mary May,58768
Chris Christie,57469
Shinzo Abe,55907
James Brien Comey Jr.,51124
Recep Tayyip Erdoğan,50894
Addison Mitchell McConnell,49540
Jeffrey P Bezos,49443
Brett Michael Kavanaugh,48281
Warren Edward Buffett,47933
Dianne Emiel Feinstein,47724
Jerome H Powell,47347
Cory Anthony Booker,46988
Emmanuel Jean-Michel Frédéric Macron,44433
Bashar Al-Assad,44269
Narendra Modi,43484
Kamala Devi Harris,43347
Ben Bernanke,43123
Boris Johnson,42545
William P Barr,42510
Charles Ellis Schumer,41570
Anthony Stephen Fauci,41282
Michael Cohen,41281
Timothy Donald Cook MBA,39773
Susan Margaret Collins,39310
Robert Menendez,39168
Paul J Manafort Jr,37938
Wilbur Ross,37214
Michelle Obama,36778
Ivanka Trump,36517
John Forbes Kerry,35793
Harry Mason Reid,35392
Peter Paul Montgomery Buttigieg,35058
Jae-In Moon,34353
Gavin Christopher Newsom,33299
James Dimon MBA,33296
Michael Thomas Flynn,32669
Lindsey Olin Graham,32645
Richard Nixon,31557
Randal Howard Paul,31198
David Cameron,31095
George Floyd,30797
Andrés Manuel López Obrador,30076
Mario Draghi,29814
Jimmy Carter,29577
Charles Ernest Grassley,29114
John R Bolton,28348
Steve Jobs,28340
Richard Lynn Scott,27883
Bill Gates,27705
Ronald Lee Wyden,27358
Hassan Fraydoon Rohani,26794
Carl Celian Icahn,26618
Mohammed Bin Salman Bin Abdulaziz Al Saud,26571
Rupert Murdoch,26508
Thomas Westerman Wolf,26440
Alexander Michael Azar II,26078
Mick Mulvaney,25486
Jorge Mario Bergoglio,24831
Martin Luther King,23897
Christopher Van Hollen Jr.,23650
François Gérard Georges Hollande,23276
Stephen Kevin Bannon,23261
Mark Thomas Esper,22709
Qasem Soleimani,22620
Ruth Bader Ginsburg,22592
Sherrod Campbell Brown,22508


Search Summary,
All of these words,
At least one of these words,
None of these words,
This exact phrase,
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,English
Results Found,"135,595,325"
Timestamp,22 February 2021 16:46
"© 2021 Factiva, Inc.  All rights reserved."
