Most Mentioned Industries
131253899 documents  for All Dates

Industry,Document Count
Pharmaceuticals,3110671
Computers/Consumer Electronics,3109210
Banking/Credit,2603289
Energy,2299268
Health Care/Life Sciences,1770433
Telecommunication Services,1641824
Chemicals,1587798
Insurance,1564900
Industrial Goods,1377413
Software,1297532
Computing,1293042
Media/Entertainment,1277797
Banking,1243031
Business/Consumer Services,1213914
Crude Oil/Natural Gas Upstream Operations,1196044
Electricity/Gas Utilities,1125574
Commercial Banking,1117280
Retail/Wholesale,881061
Investing/Securities,865666
Real Estate/Construction,865635
Real Estate Transactions,783448
Trusts/Funds/Financial Vehicles,782459
Broadcasting,774918
Biotechnology,761065
Transportation/Logistics,720587
Online Service Providers,678134
Airlines,659312
Financial Investment Services,646448
Machinery,634650
Printing/Publishing,630382
Automotive,624877
Food/Beverages,607842
Aerospace Products/Parts,582891
Networking,582754
Consumer Goods,559790
Specialty Retailing,537420
Passenger Cars,526478
Medical Equipment/Supplies,501526
Motor Vehicles,483413
Applications Software,475227
Mining/Quarrying,474285
Computer Hardware,452217
Lodgings/Restaurants/Bars,439578
Aerospace/Defense,427023
Consumer Electronics,407227
Semiconductors,406144
Electric Power Generation,401326
Audiovisual Production,373711
Agriculture,368915
Retail,357186
Legal Services,347789
Mutual Funds,346982
Wireless Telecommunications Services,342612
Advertising Services,335895
Farming,327130
Credit Types/Services,324615
Gambling Industries,324395
Clothing/Textiles,297688
Real Estate,294540
Crude Petroleum Extraction,291434
Restaurants/Cafes/Fast Food Places,274638
Computer Services,260223
Downstream Operations,259314
Ferrous Metals,259094
Primary Metals,252336
Mixed Retailing,248773
Motor Vehicle Parts,248110
Health/Medical Insurance,245255
Theaters/Entertainment Venues,245139
Accounting,243618
Clothing,242069
Lodgings,240395
Food Products,233427
Advertising/Marketing/Public Relations,233029
Mortgages/Real Estate Credit,230492
Private Equity,230204
Leisure/Arts/Hospitality,224591
Life Insurance,220604
Electrical Components/Equipment,218086
Cancer Drugs,213128
Exchange Traded Funds,204648
Mobile Telecommunications,203208
Biopharmaceuticals,203139
Pipeline Transportation,202479
Environment/Waste Management,201539
Heavy Construction,197922
Cloud Computing,197376
Design Services,192396
Gas Utilities,186455
Accounting/Consulting,185407
Marine Transport,184377
Passenger Airlines,183011
Vaccines,182100
Air Transport,181888
Television Program Production,175184
Airports,171114
Financial Services,170967
Residential Building Construction,166425
Television Broadcasting,166164
Hospital Care,166125


Search Summary,
All of these words,
At least one of these words,
None of these words,
This exact phrase,
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,English
Results Found,"135,595,325"
Timestamp,22 February 2021 16:46
"© 2021 Factiva, Inc.  All rights reserved."
