Most Mentioned Regions
131246818 documents  for All Dates

Region,Document Count
United States,109981844
North America,24219862
Western U.S.,6821147
New York State,6499306
California,6038929
Northeast U.S.,4777401
Arizona,4065985
Southern U.S.,3621361
Texas,3384645
Washington DC,3318583
Florida,3287850
Europe,3017285
United Kingdom,2870737
Midwest U.S.,2857397
Pennsylvania,2770674
New York City,2743073
Illinois,2740759
China,2181251
Canada,2177969
Asia,1850270
Massachusetts,1794421
Ohio,1762596
New Jersey,1679780
Missouri,1529763
Emerging Market Countries,1518445
Western Europe,1518028
Japan,1456011
Washington State,1385437
Georgia (US),1368482
Los Angeles,1350352
Tennessee,1298827
Virginia,1258690
Michigan,1183947
Colorado,1174798
Germany,1148559
Minnesota,1068566
Russia,1065342
North Carolina,1051952
Maryland,1008178
India,1006700
Connecticut,994346
Australia,989425
Utah,968259
Wisconsin,924513
Indiana,911938
Middle East,849198
Iraq,826183
Eastern Asia,806221
France,800291
Nevada,771126
Maine,736355
Oregon,729588
Oklahoma,716991
South Carolina,687033
Iowa,637915
Alabama,628547
South Korea,626929
Israel,614916
West Virginia,606484
European Union Countries,606199
Mexico,604207
Kansas,599686
Western Asia,587343
Iran,575374
Afghanistan,573261
Louisiana,562695
Kentucky,560642
Chicago,538274
Alaska,535840
Mediterranean,533585
Mississippi,530896
New Mexico,508425
Boston,451375
Netherlands,448233
Africa,443849
Latin America,419150
Idaho,404219
Ontario,398766
Pakistan,382225
Arkansas,381191
Italy,379249
North Korea,379228
South America,367615
Syria,366616
Persian Gulf Region,361210
Switzerland,354898
Hawaii,345890
Central/Eastern Europe,323413
Nebraska,318888
Houston,300088
Brazil,300032
Delaware,290614
Rhode Island,284565
Philadelphia,281537
Hong Kong,275605
Spain,272745
Taiwan,262229
Montana,261703
Atlanta,260255
New Hampshire,259567


Search Summary,
All of these words,
At least one of these words,
None of these words,
This exact phrase,
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,English
Results Found,"135,595,325"
Timestamp,22 February 2021 16:46
"© 2021 Factiva, Inc.  All rights reserved."
