Document Distribution By Date
Distribution: Yearly
131253868 documents  for All Dates

Date,Document Count
Start Date: 1 January 1969 End Date: 31 December 1969,10385
Start Date: 1 January 1970 End Date: 31 December 1970,9995
Start Date: 1 January 1971 End Date: 31 December 1971,11486
Start Date: 1 January 1972 End Date: 31 December 1972,20085
Start Date: 1 January 1973 End Date: 31 December 1973,22586
Start Date: 1 January 1974 End Date: 31 December 1974,34929
Start Date: 1 January 1975 End Date: 31 December 1975,34363
Start Date: 1 January 1976 End Date: 31 December 1976,31878
Start Date: 1 January 1977 End Date: 31 December 1977,56489
Start Date: 1 January 1978 End Date: 31 December 1978,53100
Start Date: 1 January 1979 End Date: 31 December 1979,55057
Start Date: 1 January 1980 End Date: 31 December 1980,87339
Start Date: 1 January 1981 End Date: 31 December 1981,118620
Start Date: 1 January 1982 End Date: 31 December 1982,134279
Start Date: 1 January 1983 End Date: 31 December 1983,137422
Start Date: 1 January 1984 End Date: 31 December 1984,112464
Start Date: 1 January 1985 End Date: 31 December 1985,118592
Start Date: 1 January 1986 End Date: 31 December 1986,156514
Start Date: 1 January 1987 End Date: 31 December 1987,177489
Start Date: 1 January 1988 End Date: 31 December 1988,246899
Start Date: 1 January 1989 End Date: 31 December 1989,358216
Start Date: 1 January 1990 End Date: 31 December 1990,447376
Start Date: 1 January 1991 End Date: 31 December 1991,469624
Start Date: 1 January 1992 End Date: 31 December 1992,531127
Start Date: 1 January 1993 End Date: 31 December 1993,584339
Start Date: 1 January 1994 End Date: 31 December 1994,617700
Start Date: 1 January 1995 End Date: 31 December 1995,759003
Start Date: 1 January 1996 End Date: 31 December 1996,944846
Start Date: 1 January 1997 End Date: 31 December 1997,1716303
Start Date: 1 January 1998 End Date: 31 December 1998,2301736
Start Date: 1 January 1999 End Date: 31 December 1999,2230083
Start Date: 1 January 2000 End Date: 31 December 2000,2629587
Start Date: 1 January 2001 End Date: 31 December 2001,2595304
Start Date: 1 January 2002 End Date: 31 December 2002,4019086
Start Date: 1 January 2003 End Date: 31 December 2003,3419936
Start Date: 1 January 2004 End Date: 31 December 2004,3729318
Start Date: 1 January 2005 End Date: 31 December 2005,5122968
Start Date: 1 January 2006 End Date: 31 December 2006,5958561
Start Date: 1 January 2007 End Date: 31 December 2007,6020838
Start Date: 1 January 2008 End Date: 31 December 2008,6268574
Start Date: 1 January 2009 End Date: 31 December 2009,6847527
Start Date: 1 January 2010 End Date: 31 December 2010,7228277
Start Date: 1 January 2011 End Date: 31 December 2011,7604289
Start Date: 1 January 2012 End Date: 31 December 2012,6569567
Start Date: 1 January 2013 End Date: 31 December 2013,6669031
Start Date: 1 January 2014 End Date: 31 December 2014,6530092
Start Date: 1 January 2015 End Date: 31 December 2015,6469618
Start Date: 1 January 2016 End Date: 31 December 2016,6110911
Start Date: 1 January 2017 End Date: 31 December 2017,6019271
Start Date: 1 January 2018 End Date: 31 December 2018,5959323
Start Date: 1 January 2019 End Date: 31 December 2019,5850192
Start Date: 1 January 2020 End Date: 31 December 2020,6145310
Start Date: 1 January 2021 End Date: 31 December 2021,895964


Search Summary,
All of these words,
At least one of these words,
None of these words,
This exact phrase,
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,English
Results Found,"135,595,325"
Timestamp,22 February 2021 16:46
"© 2021 Factiva, Inc.  All rights reserved."
