cusip,comp_conm,tic,factiva_tag,factiva_name,sim
00020910,A & W BRANDS INC,SODA.1,,,
00030710,AAC HOLDINGS INC,AAC,aacho,AAC Holdings Inc,1
00036020,AAON INC,AAON,aaoni,Aaon Inc,1
00036110,AAR CORP,AIR,aar,"AAR Corp, aarx",0.777777777777778
00075210,ABC-NACO INC,ABCRQ,abcra,ABC-NACO Inc,1
00077R10,ABR INFORMATION SERVICES INC,ABRX.,abrinf,ABR Information Services Inc,1
00078110,ABS INDUSTRIES INC,ABSI,absic,"ABS Industries Inc, absicx",0.85
00078210,ABT BUILDING PRODUCTS CORP,ABTC,abtbul,ABT Building Products Corp,1
00078810,A B WATLEY GROUP INC,ABWG,intfis,AB Watley Group Inc,1
00079410,ACC CORP,ACCC.,acccor,"ACC Corp, acccorx",0.666666666666667
00081T10,ACCO BRANDS CORP,ACCO,accwld,"ACCO Brands Corp, ambri",0.848484848484848
00086810,ACNB CORP,ACNB,acnbcp,ACNB Corp,1
00086T10,A.C. MOORE ARTS & CRAFTS INC,ACMR.1,moorac,A.C. Moore Arts & Crafts Inc,1
00087230,ACS ENTERPRISES INC,ACSE,acse,"ACS Enterprises Inc, acsex",0.878048780487805
00087B10,ACR GROUP INC,BRR,timen,ACR Group Inc,1
00087X10,ACSYS INC,AYS.,acsinc,Acsys Inc,1
00088510,ADCO TECHNOLOGIES INC,ADCO.1,adctch,ADCO TECHNOLOGIES,0.888888888888889
00088630,ADC TELECOMMUNICATIONS INC,ADCT,mgnec,ADC Telecommunications Inc,1
00088E10,ACTV INC,IATV,actvi,ACTV Inc,1
00088U10,A D A M INC,ADAM.1,adamsf,A.D.A.M. Inc,1
00089910,ADMA BIOLOGICS INC,ADMA,admbli,"ADMA Biologics Inc., burlc",0.871794871794872
00089C10,ADE CORP/MA,ADEX,,,
00090Q10,ADT INC,ADT,,,
00095010,AFC CABLE SYSTEMS INC,AFCX,afccab,AFC Cable Systems Inc,1
00095510,ACT TELECONFERENCING INC,ACTT.1,acttlc,Act Teleconferencing Inc,1
00095710,ABM INDUSTRIES INC,ABM,ambm,ABM Industries Inc,1
00097310,ACT MANUFACTURING INC,AMNUQ,actmnf,ACT Manufacturing Inc,1
00097510,ACT NETWORKS INC,ANET.,actnet,ACT Networks Inc,1
00101J10,ADT CORP,ADT.4,,,
00103010,AEL INDUSTRIES,AELNA,aelna,"AEL Industries INC, aelnax",0.722222222222222
00103110,AEP INDUSTRIES INC,AEPI,aepin,AEP Industries Inc,1
00104G10,AESP INC,AESP,advele,"AESP Inc, alldsc",0.727272727272727
00105510,AFLAC INC,AFL,afl,"AFLAC Inc, aflx",0.818181818181818
00107310,AG ASSOCIATES INC,AGAI,agasso,AG Associates Inc,1
00108410,AGCO CORP,AGCO,agcocp,"AGCO Corp, agcocpx",0.695652173913044
00108J10,ACM RESEARCH INC,ACMR,acmres,ACM Research Inc,1
00108M10,AG&E HOLDINGS INC,AGNUQ,,,
00125010,AG SERVICES OF AMERICA,ASV.2,agser,"AG Services Of America Inc, agserx",0.791666666666667
00128210,A. H. BELO CORP,AHC,belo,Belo Corp,0.888888888888889
00129610,AHL SERVICES INC,AHLS,ahlsrv,AHL Services Inc,1
00130310,AHPC HOLDINGS INC,GLOV,adsid,"AHPC Holdings Inc, wemrub",0.842105263157895
00130H10,AES CORP (THE),AES,aescor,"The AES Corp, ebsblg",0.608695652173913
00130R10,AHT CORP,AHTCQ,att,AT&T Corp,0.857142857142857
00142310,AIM TELEPHONES INC,7547B,are,"AIM Telephones Inc, arex",0.894736842105263
00154710,AK STEEL HOLDING CORP,AKS,armcos,AK Steel Holding Corp,1
00157530,ALC COMMUNICATIONS INC,ALC.2,belatt,"Verizon Communications Inc., cmbnet",0.692307692307692
00160010,ALCO STORES INC,ALCSQ,ducal,Duckwall Alco Stores Inc,0.777777777777778
00162710,ALJ REGIONAL HOLDINGS INC,ALJJ,nrtthe,ALJ Regional Holdings Inc,1
00163U10,AMAG PHARMACEUTICALS INC,AMAG,advmag,AMAG Pharmaceuticals Incorporated,0.851851851851852
00164V10,AMC NETWORKS INC,AMCX,,,
00165C10,AMC ENTERTAINMENT HOLDINGS,AMC,amce,"AMC Entertainment Holdings Inc, cnyc",0.857142857142857
00169310,AMFM INC,AFM.3,,,
00171210,AMICAS INC,AMCS,amicai,"AMICAS Inc, infocr",0.769230769230769
00173310,AML COMMUNICATIONS INC,AMLJ,amlcom,AML Communications Inc,1
00174410,AMN HEALTHCARE SERVICES INC,AMN,amnhea,"AMN Healthcare Services Inc, bment",0.909090909090909
00180C10,AMX CORP,AMXC,amxcor,AMX Corp,1
00181310,ANC RENTAL CORP,ANCJQ,ancren,"ANC Rental Corp, repres",0.8125
00181T10,A-MARK PRECIOUS METALS INC,AMRK,,,
