cusip,sim,comp_st_years,comp_en_years,comp_conm,factiva_comp,factiva_tag,manual_tag
88510,0.888888889,1989,1995,ADCO TECHNOLOGIES INC,ADCO TECHNOLOGIES,adctch,
00101J10,0.3,2007,2015,ADT CORP,General Electric Capital Corporation,gecapt,ADTSSI
103010,0.866666667,1960,1994,AEL INDUSTRIES,AEL Industries INC,aelna,aelna
125010,0.904761905,1990,2002,AG SERVICES OF AMERICA,AG Services Of America Inc,agser,agser
157530,0.857142857,1982,1994,ALC COMMUNICATIONS INC,ALC Communications Corporation,cmbnet,cmbnet
193610,0.857142857,1988,1993,A PEA IN THE POD INC,"A Pea In The Pod (Dallas,TX)",appod,appod
206210,0.666666667,1981,1990,AT&E CORP,AT&E Corporation,atec,atec
207510,0.833333333,1983,1991,ATI MEDICAL INC,ATI Medical,atimed,atimed
00209A10,0.777777778,1997,2003,AT&T WIRELESS SERVICES INC,"New Cingular Wireless Services, Inc.",attwir,attwir
00213J10,0.510638298,2001,2011,ATC VENTURES GROUP INC,Cycle Country Accessories Corp,cyacss,cyacss
282410,,,,ABBOTT LABORATORIES,Abbott Laboratories Inc,abotlb,abotlb
339010,0.851851852,1993,2008,ABIGAIL ADAMS NATL BANCORP,Abigail Adams National Bancorp Inc,abadb,abadb
373610,0.857142857,1997,1999,ABOUT.COM INC,About Inc,mncmp,mncmp
493410,0.736842105,1992,2009,ACTEL CORP,Altera Corp,altcrp,actlc
493810,0.827586207,1990,1999,ACTIVE VOICE CORP,Active Voice LLC,actvoc,actvoc
752510,0.867924528,1995,2005,ADVANCED DIGITAL INFO CORP,Advanced Digital Information Corp,addgi,addgi
00753C10,0.857142857,1996,2003,ADVANCED LIGHTING TECH INC,Advanced Lighting Technologies Inc,adtchv,adtchv
00766T10,0.322580645,2002,2018,AECOM,AECOM Technology Corporation,aecomm,aecomm
776810,0.774193548,1974,2006,AEROFLEX INC,Aeroflex Holding Corp.,aflxin,aflxin
867710,0.740740741,1971,1997,AHMANSON (H F) & CO,HF AHMANSON AND COMPANY,ahmnsn,ahmnsn
915810,0.941176471,1950,2018,AIR PRODUCTS & CHEMICALS INC,Air Products and Chemicals Inc,airpro,airpro
923610,0.833333333,1974,1990,AIR WISCONSIN SERVICES INC,Air Wisconsin Airlines Corp,airwsn,airwsn
926910,0.8,1965,2002,AIRBORNE INC,Airborne Health Inc,arbrn,
952510,0.75862069,1990,1996,AIRWAYS CORP,Jetblue Airways Corp,jetblu,
1031710,0.765957447,1993,2006,ALABAMA NATL BANCORPORATION,Alabama National BanCorp,albnat,albnat
01167P10,,,,ALASKA COMMUNICATIONS SYS GP,,,alech
1310410,0.814814815,1961,2005,ALBERTSON'S INC,Albertsons LLC,albers,albers
1648020,0.925925926,1985,1996,ALL AMERICAN COMMUNICATIONS,All American Communications Inc,almtv,almtv
1671410,0.75862069,1995,2000,ALLAIRE CORP,Allaire Corporation,allrmn,allrmn
1717510,,,,ALLEGHANY CORP,Alleghany Corporation,anany,anany
01852Q10,0.892857143,1988,2003,ALLIANCE BANCORP NEW ENGLAND,Alliance Bancorp of New England Inc,alnbnc,alnbnc
1922220,0.943396226,1991,2018,ALLIED HEALTHCARE PRODS INC,Allied Healthcare Products Inc,alhlth,alhlth
1924610,0.904761905,1988,1997,ALLIED LIFE FINANCIAL CORP,ALLIED LIFE FINANCIAL,alifin,alifin
1949610,0.925925926,1997,2000,ALLIED RISER COMMUNICATIONS,Allied Riser Communications Corp,allris,allris
01973R10,0.872727273,2008,2018,ALLISON TRANSMISSION HLDGS,Allison Transmission Holdings Inc.,allsnt,allsnt
1984710,0.913043478,1982,1991,ALLOY COMPUTER PRODUCTS INC,Alloy Computer Products,alycmp,alycmp
02079K30,,,,ALPHABET INC,Google Inc.,goog,goog
2149730,0.844444444,1994,1999,ALTIVA FINANCIAL CORP,Altiva Financial Corporation,mmgco,mmgco
02153X10,0.884615385,2012,2018,ALTISOURCE ASSET MGMT CORP,Altisource Asset Management Corp.,aassmz,aassmz
2312010,0.8,1986,1997,AMAX GOLD INC,Kinam Gold Inc,amgold,amgold
2406110,0.653846154,1996,2018,AMERICAN AXLE & MFG HOLDINGS,American Axle & Manufacturing Inc,amxle,amxle
2407310,0.909090909,1990,1996,AMERICAN BANCORP/NV,Sun American Bancorp,prewsc,abanv
2407640,0.909090909,1982,2000,AMERICAN BANCORP/OH,Sun American Bancorp,prewsc,
2445610,0.884615385,1987,1998,AMERICAN BANKERS INS GROUP,American Bankers Insurance Group,abig,abig
2476310,0.857142857,1969,1998,AMERICAN BUSINESS PRODS/GA,American Business Products Inc,ambus,ambus
2532110,0.941176471,1950,1993,AMERICAN CYANAMID CO,AMERICAN CYANAMID,amcynm,amcynm
2604210,0.888888889,1972,1996,AMERICAN FILTRONA CORP,AMERICAN FILTRONA,amflt,amflt
2629620,0.888888889,1982,1991,AMERICAN FRUCTOSE,American Fructose Corp,amfr,amfr
2635110,0.7,1971,2000,AMERICAN GENERAL CORP,American International Group Inc,aiu,
2690940,0.877192982,1986,2001,AMERICAN INTL PETROLEUM CORP,American International Petroleum Corporation,amipet,amipet
2707010,0.9,1995,2009,AMER ITALIAN PASTA CO,American Italian Pasta Company,amitpa,amitpa
2774510,0.846153846,1998,2018,AMERICAN NATL BANKSHARES,American National Bankshares Inc,amnabk,amnabk
2860220,0.961538462,1981,1992,AMERICAN NATIONAL PETROLEUM,AMERICAN NATIONAL PETROLEUM CO,anpc,anpc
2881610,0.918918919,1991,1999,AMERICAN PAD & PAPER CO,American Pad & Paper LLC,ampadp,ampadp
2888210,0.807017544,1982,2009,AMERICAN PHYSICIANS SVC GP,American Physicians Service Group Inc,apsc,apsc
2888410,0.925925926,1996,2009,AMERICAN PHYSICIANS CAPITAL,American Physicians Capital Inc,kentmi,kentmi
2891310,0.862745098,1995,2005,AMERICAN RETIREMENT CORP,American Retirement Corporation,ameret,ameret
2916310,0.523809524,1990,1996,AMERICAN RE CORP,"Munich Reinsurance America, Inc.",amerei,amerei
2928010,0.925925926,1992,2000,AMERICAN RESOURCES OFFSHORE,American Resources Offshore Inc,amdelw,amdelw
2959510,0.867924528,1983,2018,AMERICAN SHARED HSPTL SERV,American Shared Hospital Services,amshs,amshs
2968310,0.888888889,1982,2018,AMERICAN SOFTWARE,American Software Inc,amswa,amswa
3004110,0.933333333,1987,1993,AMERICAN STEEL & WIRE CORP,AMERICAN STEEL AND WIRE CORP,astwic,astwic
3009610,0.933333333,1965,1998,AMERICAN STORES CO,AMERICAN STORES,amstor,amstor
3011120,,,,AMERICAN SUPERCONDUCTOR CP,American Superconductor Corp,amrspc,amrspc
3078950,0.857142857,1962,2001,AMES DEPT STORES INC,Ames Department Stores Inc,amedep,amedep
3190510,0.72,1950,1997,AMOCO CORP,AMOCO CORPORATION,stanol,stanol
3216510,0.8,1963,2005,AMSOUTH BANCORPORATION,AmSouth Bancorp,aso,aso
3283810,0.866666667,2009,2018,ANCHOR BANCORP/WA,Anchor Bancorp Inc.,anchbi,anchbi
03349M10,,,,ANDEAVOR,Tesoro Corporation,tsptc,tsptc
3675210,,,,ANTHEM INC,Wellpoint Inc,anminc,anminc
3791710,0.913043478,1986,1995,APPLIED BIOSCIENCE INTL INC,APPLIED BIOSCIENCE INTERNATIONAL,biody,biody
