cusip,st_date,en_date,num_art
01307810,2010-09-27,2010-09-27,128
02744L10,2019-02-08,2019-02-08,326
03073T10,2012-07-09,2012-07-09,122
05874B10,2014-07-25,2014-07-25,112
05874B10,2014-08-01,2014-08-01,157
05874B10,2014-08-15,2014-08-15,144
05874B10,2014-08-22,2014-08-22,141
07581110,2015-06-24,2015-06-24,116
05592110,2013-05-06,2013-05-06,103
11704310,2015-02-21,2015-02-21,112
12201410,2005-12-13,2005-12-13,103
12680430,2016-10-03,2016-10-03,102
13462K10,2018-01-04,2018-01-04,115
14170510,2006-11-01,2006-11-01,114
14170510,2006-12-18,2006-12-18,103
15670810,2011-03-30,2011-03-30,143
18538Q10,2012-12-17,2012-12-17,102
18538Q10,2013-05-21,2013-05-21,101
18538Q10,2013-05-30,2013-05-30,110
12561W10,2003-12-23,2003-12-23,114
12561W10,2004-03-04,2004-03-04,121
12561W10,2004-03-29,2004-03-29,153
22286210,2012-08-20,2012-08-20,124
25456U10,2016-09-06,2016-09-06,115
25456U10,2016-09-07,2016-09-07,108
25456U10,2017-09-05,2017-09-05,136
25501G10,2019-02-16,2019-02-16,180
26160810,2014-09-22,2014-09-22,109
28035810,2013-03-18,2013-03-18,101
30064K10,2013-06-04,2013-06-04,104
33903010,2003-10-28,2003-10-28,113
40011010,2020-05-12,2020-05-12,115
40011010,2020-06-11,2020-06-11,123
41308610,2014-10-22,2014-10-22,109
41458510,2013-07-09,2013-07-09,149
44106010,2015-02-05,2015-02-05,105
48586510,2018-06-05,2018-06-05,132
48586510,2018-06-06,2018-06-06,124
48244B10,2012-08-02,2012-08-02,141
48244B10,2012-08-03,2012-08-03,167
48244B10,2012-08-06,2012-08-06,173
49238610,2006-06-23,2006-06-23,110
49271V10,2018-01-29,2018-01-29,101
54414710,2014-07-15,2014-07-15,122
57183710,2010-12-17,2010-12-17,124
60935Y20,2018-01-03,2018-01-03,110
98978V10,2015-06-08,2015-06-08,157
98974X10,2013-01-02,2013-01-02,112
98385X10,2009-12-14,2009-12-14,126
93317Q10,2019-02-16,2019-02-16,180
92769L10,2013-02-06,2013-02-06,112
92765X20,2016-04-04,2016-04-04,153
90431110,2019-11-04,2019-11-04,117
89788810,2014-07-28,2014-07-28,107
88706M10,2014-08-25,2014-08-25,157
88706M10,2014-08-26,2014-08-26,218
88550210,1998-04-06,1998-04-06,125
88431510,2012-01-30,2012-01-30,110
88368Q20,2008-01-08,2008-01-08,314
88368Q20,2008-01-17,2008-01-17,1129
88368Q20,2008-02-11,2008-02-11,199
88368Q20,2008-03-09,2008-03-09,160
88169410,2000-10-16,2000-10-16,131
87986810,2011-06-07,2011-06-07,116
87603010,2018-06-05,2018-06-05,133
87603010,2018-06-06,2018-06-06,125
87403A10,2013-10-09,2013-10-09,107
82617010,2005-09-12,2005-09-12,102
78423R10,2014-07-25,2014-07-25,112
78423R10,2014-08-01,2014-08-01,118
78423R10,2014-08-15,2014-08-15,143
78423R10,2014-08-22,2014-08-22,141
80874P10,2018-08-30,2018-08-30,215
80306210,2014-11-03,2014-11-03,107
50076Q10,2015-03-25,2015-03-25,285
50076Q10,2015-03-26,2015-03-26,102
57459910,2015-03-27,2015-03-27,132
57459910,2017-07-14,2017-07-14,178
57777810,2005-02-28,2005-02-28,123
58241110,2012-12-05,2012-12-05,141
58405U10,2011-07-21,2011-07-21,135
58501N10,2016-08-22,2016-08-22,103
62009710,2011-08-15,2011-08-15,172
62009710,2011-08-16,2011-08-16,143
62475810,2019-02-16,2019-02-16,180
88553510,2009-11-12,2009-11-12,111
00287Y10,2014-10-15,2014-10-15,118
00287Y10,2014-10-16,2014-10-16,109
00287Y10,2015-03-05,2015-03-05,104
00289620,2011-08-17,2011-08-17,101
00507V10,2015-11-03,2015-11-03,102
00684810,2002-07-25,2002-07-25,103
00724F10,2014-08-28,2014-08-28,107
00724F10,2014-09-04,2014-09-04,130
00724F10,2014-09-11,2014-09-11,122
00790310,2009-11-12,2009-11-12,103
00790310,2020-10-27,2020-10-27,108
00817Y10,2012-08-20,2012-08-20,153
00817Y10,2015-07-03,2015-07-03,116
00817Y10,2015-07-06,2015-07-06,143
00817Y10,2016-07-21,2016-07-21,139
00817Y10,2017-12-04,2017-12-04,172
00846U10,2005-08-15,2005-08-15,106
00949P10,2010-09-27,2010-09-27,127
01165910,2016-04-04,2016-04-04,172
01849010,2014-04-22,2014-04-22,142
01849010,2014-11-17,2014-11-17,154
01849010,2015-11-23,2015-11-23,202
01849010,2016-04-06,2016-04-06,191
G0177J10,2013-05-20,2013-05-20,128
G0177J10,2014-11-17,2014-11-17,151
G0177J10,2015-07-27,2015-07-27,109
G0177J10,2015-10-29,2015-10-29,101
G0177J10,2015-11-23,2015-11-23,229
G0177J10,2015-11-24,2015-11-24,114
G0177J10,2016-04-06,2016-04-06,211
G0177J10,2016-04-07,2016-04-07,105
02005N10,2008-12-30,2008-12-30,122
02005N10,2012-02-09,2012-02-09,106
02144110,2015-06-01,2015-06-01,116
02209S10,2007-01-31,2007-01-31,120
02313510,2011-09-28,2011-09-28,201
02313510,2012-02-01,2012-02-01,126
02313510,2012-04-27,2012-04-27,101
02313510,2012-09-06,2012-09-06,179
02313510,2012-09-07,2012-09-07,126
02313510,2012-10-23,2012-10-23,108
02313510,2013-01-29,2013-01-29,101
02313510,2013-01-30,2013-01-30,104
02313510,2013-08-05,2013-08-05,154
02313510,2013-08-06,2013-08-06,223
02313510,2013-08-07,2013-08-07,122
02313510,2013-12-02,2013-12-02,148
02313510,2013-12-03,2013-12-03,121
02313510,2014-06-18,2014-06-18,135
02313510,2014-07-25,2014-07-25,105
02313510,2014-10-23,2014-10-23,116
02313510,2014-10-24,2014-10-24,102
02313510,2015-07-24,2015-07-24,107
02313510,2015-10-23,2015-10-23,101
02313510,2017-02-03,2017-02-03,107
02313510,2017-04-27,2017-04-27,116
02313510,2017-06-05,2017-06-05,141
02313510,2017-06-16,2017-06-16,527
02313510,2017-06-17,2017-06-17,101
02313510,2017-06-19,2017-06-19,222
02313510,2017-06-20,2017-06-20,170
02313510,2017-06-21,2017-06-21,123
02313510,2017-06-28,2017-06-28,125
02313510,2017-06-29,2017-06-29,144
02313510,2017-07-10,2017-07-10,132
02313510,2017-07-12,2017-07-12,106
